group,avg_duration_min,var_duration_min,median_min,mad_min
Discharge,671.0176660452165,170556.57284121102,770.95,296.3166666666666
Emergency,308.17024668765487,37944.081874013056,282.0,123.0
ICU,2468.4667913268268,4241198.9153644955,1899.4333333333334,1129.8833333333332
Medical Ward,3124.4630618709652,7873453.834571721,2500.925,1706.1083333333336
Medicine,3119.6610942975767,8413801.452987645,2491.741666666667,1829.6083333333333
Neurology,2996.9002837479306,7190256.168260561,2390.6666666666665,1594.7666666666669
Observation,2940.976654068794,3268220.697231771,2780.0666666666666,1270.55
Obstetrics,579.69071172894,165345.778270697,473.94166666666666,246.80833333333334
Other-Small,3061.604888296782,7960547.530393315,2356.7,1751.7416666666666
PACU,232.35922312433195,60154.28047882566,151.41666666666669,124.48333333333335
Pediatrics,652.1568739935589,720100.4234748735,293.8666666666667,232.0916666666667
Psychiatry,6743.853840633341,34265297.365534954,5598.016666666666,4076.866666666667
Step-Down,3349.6267386116015,9544940.343034416,2564.0,1878.3166666666666
Surgical Ward,3084.4288899211447,7272885.927503924,2536.5333333333333,1686.3
