episode,return,length,risk_threshold
1,-165.5376021330203,21,-165.5376021330203
2,-172.18669791827207,21,-171.8542431290095
3,-164.97198201075298,21,-171.5217883397469
4,-163.23489880826986,21,-171.18933355048432
5,-167.5217472205132,21,-171.2537077787203
6,-177.4645153877068,21,-176.14506102034812
7,-175.42199672603098,21,-176.85175978920404
8,-170.4966874589634,21,-176.74963385612025
9,-175.50257036675237,21,-176.67973737932502
10,-173.98445583938854,21,-176.58164012827731
11,-176.7756497740414,21,-177.1200825808741
12,-177.6789564123635,21,-177.5610138488023
13,-177.45722277258434,21,-177.55029179756949
14,-175.72360752650806,21,-177.53956974633664
15,-175.5796198106869,21,-177.52884769510382
16,-174.90352696076152,21,-177.51812564387097
17,-182.51662557405177,21,-178.64649024470117
18,-168.973925879057,21,-178.40460678661674
19,-151.90385014474498,21,-178.16272332853234
20,-159.86759465100442,21,-177.9208398704479
21,-133.35498448875435,21,-177.6789564123635
22,-128.7632394195388,21,-177.66823436113066
23,-115.26826642053503,21,-177.65751230989784
24,-125.38958056817032,21,-177.646790258665
25,-156.83457919829993,21,-177.63606820743217
26,-121.37031395234274,21,-177.62534615619933
27,-122.81411105233242,21,-177.61462410496648
28,-102.99647809517862,21,-177.60390205373366
29,-101.89058144586842,21,-177.59318000250082
30,-100.29627634048842,21,-177.582457951268
31,-125.6445893142328,21,-177.57173590003515
32,-82.86629532085543,21,-177.5610138488023
33,-121.63986724137932,21,-177.55029179756949
34,-111.33225586965148,21,-177.53956974633664
35,-110.37634925769939,21,-177.52884769510382
36,-113.6629135511254,21,-177.51812564387097
37,-82.90042909529838,21,-177.50740359263813
38,-59.77696992964314,21,-177.4966815414053
39,-121.36354328137213,21,-177.48595949017246
40,-104.46361665223364,21,-177.47523743893964
41,-105.61356724137927,21,-177.4645153877068
42,-100.02991520834917,21,-177.4641507569507
43,-113.61436282376958,21,-177.46378612619455
44,-100.44162873594684,21,-177.46342149543844
45,-104.18882232434964,21,-177.4630568646823
46,-104.91282839747578,21,-177.4626922339262
47,-136.8993457923438,21,-177.46232760317005
48,-99.68759388861046,21,-177.46196297241394
49,-145.66950337443282,21,-177.4615983416578
50,-100.61571913069427,21,-177.4612337109017
51,-100.14015385190068,21,-177.46086908014559
52,-122.53436002810426,21,-177.46050444938945
53,-102.29918128405916,21,-177.46013981863334
54,-82.26284320987386,21,-177.4597751878772
55,-120.98618677570701,21,-177.4594105571211
56,-114.59558122577059,21,-177.45904592636495
57,-86.85342070159521,21,-177.45868129560884
