episode,env_steps,elapsed_time_s,steps_per_s,episode_return,rolling20_return,avg_loss
1,69,0.76,90.79,-109.86,-109.86,2.4147
2,152,0.86,176.44,-226.54,-168.20,2.3977
3,265,1.01,262.62,-317.36,-217.92,2.5010
4,328,1.07,305.23,-115.33,-192.27,1.3753
5,418,1.18,353.16,-107.51,-175.32,1.6395
6,526,1.29,407.69,-242.94,-186.59,1.9138
7,652,1.42,457.62,-182.60,-186.02,1.8149
8,737,1.53,483.17,-184.28,-185.80,1.8273
9,812,1.60,506.58,-76.31,-173.64,1.5233
10,890,1.69,527.41,-165.50,-172.82,1.8477
11,985,1.78,553.98,-88.11,-165.12,1.3656
12,1074,1.87,573.52,-99.68,-159.67,2.7122
13,1147,1.99,576.91,-60.82,-152.07,1.7091
14,1251,2.11,593.29,-100.13,-148.36,1.4821
15,1330,2.20,605.89,-90.57,-144.50,1.7439
16,1410,2.28,617.44,-381.03,-159.29,1.8708
17,1472,2.35,626.06,-137.07,-157.98,1.2542
18,1548,2.44,634.48,-98.75,-154.69,1.5648
19,1630,2.54,642.41,-186.38,-156.36,1.6645
20,1693,2.61,649.32,-89.87,-153.03,1.5635
21,1763,2.68,656.62,-152.29,-155.15,1.9607
22,1857,2.78,668.09,42.84,-141.68,1.4834
23,1955,2.88,678.80,-119.03,-131.77,1.5026
24,2030,2.96,685.84,-169.40,-134.47,1.8293
25,2110,3.04,693.84,-205.40,-139.37,1.9182
26,2212,3.16,699.09,-286.80,-141.56,1.8679
27,2339,3.30,708.43,-238.58,-144.36,1.3722
28,2441,3.41,715.36,-199.44,-145.12,1.5662
29,2567,3.54,725.05,-192.70,-150.94,1.5915
30,2634,3.61,728.95,-121.78,-148.75,1.3966
31,2730,3.73,731.90,-157.41,-152.21,1.7393
32,2858,3.87,738.85,-167.22,-155.59,1.6356
33,2970,3.99,744.61,-185.67,-161.83,1.5479
34,3115,4.13,754.54,-172.35,-165.44,1.6296
35,3203,4.23,757.77,-110.41,-166.44,1.9902
36,3296,4.32,762.19,-102.57,-152.51,1.6465
37,3385,4.42,765.15,-89.90,-150.16,1.3678
38,3502,4.54,771.17,-340.92,-162.26,0.9469
39,3634,4.68,777.09,-118.12,-158.85,1.4147
40,3774,4.85,778.70,-55.35,-157.12,1.3003
41,3849,4.94,779.37,-90.20,-154.02,1.2848
