iteration,env_steps,elapsed_time_s,speed_steps_per_s,avg_return,cvar,policy_loss,value_loss,entropy
1,8192,6.081816673278809,1346.965954431434,-4040.1877769511684,nan,-0.0011835377081297338,1576.387728691101,1.3801699494943023
2,16384,11.721212148666382,1397.8076492595642,-4135.47759171137,-434.76767436315254,0.0013298757912707515,990.7446131706238,1.3755772467702627
3,24576,17.072004079818726,1439.5497965614916,-4093.8137821181695,-360.08153370635415,0.0007030343276710482,621.6039667129517,1.3737899968400598
4,32768,22.746545791625977,1440.5703749561558,-3883.086754187965,-360.8302829815957,-0.0005283297359710559,400.3565202951431,1.3755669621750712
5,40960,29.49372100830078,1388.7701720807668,-4070.739640589766,-430.998523955886,0.0002007486364163924,486.719313621521,1.3775941813364625
6,49152,35.107743978500366,1400.032996426663,-3932.2990480897347,-411.9973711692408,0.002566998311522184,593.4094362258911,1.3780418876558542
7,57344,41.06275224685669,1396.496748568275,-3660.902830254501,-354.55400653582717,0.0008031297802517656,668.3397579193115,1.3774067303165793
8,65536,46.76127290725708,1401.5016257144957,-3282.1430232254374,-310.50299421176817,0.0006581252928299364,481.14601159095764,1.3705231500789523
9,73728,52.401631593704224,1406.9790912552048,-3913.6234703623713,-341.73125698688096,-0.005382619176089065,456.4984550476074,1.3686343720182776
10,81920,58.046619176864624,1411.2794364542506,-2768.599861265854,-252.295253898043,-0.001481045845139306,272.08883905410767,1.3648770116269588
11,90112,63.81228041648865,1412.1419797546632,-3076.222118724963,-339.6263166993375,-0.003494191994832363,442.96273469924927,1.374188263900578
12,98304,69.51578831672668,1414.1247964003362,-2722.9058792480287,-265.9118124016179,-0.007222322004963644,281.98227751255035,1.3559464309364557
13,106496,75.34095811843872,1413.520648789526,-2469.6451663646967,-253.33070661012843,-0.006075594792491756,476.9621561765671,1.352415137924254
14,114688,81.91259455680847,1400.1265693087155,-2022.8629719369392,-216.1480879263294,-0.005851031597558176,214.9077768921852,1.3324392000213265
15,122880,87.74385523796082,1400.439947239042,-1970.9152793377139,-220.63395724346466,0.0012063302310707513,223.49118995666504,1.3119355356320739
16,131072,95.98975491523743,1365.4790567570624,-1537.8984063256244,-241.81870729880987,-0.0008073390054050833,267.2522498369217,1.3064430560916662
17,139264,103.40105700492859,1346.8334273735907,-1402.2238388048188,-212.20368536615814,0.0006357473430398386,150.5059182047844,1.2753054732456803
