iter,timesteps,avg_return,cvar_return
1,64,-2.37,-8.64
2,128,-2.18,-7.88
3,192,-1.93,-6.91
4,256,-2.14,-7.73
5,320,-1.32,-4.47
6,384,-2.50,-9.16
7,448,-2.54,-9.34
8,512,-1.61,-5.61
9,576,-2.89,-10.75
10,640,-1.72,-6.06
11,704,-2.49,-9.12
12,768,-2.34,-8.52
13,832,-1.43,-4.91
14,896,-2.08,-7.50
15,960,-2.43,-8.91
16,1024,-2.24,-8.15
17,1088,-1.74,-6.12
18,1152,-2.05,-7.39
19,1216,-1.57,-5.46
20,1280,-1.96,-7.03
21,1344,-1.18,-3.88
22,1408,-2.32,-8.47
23,1472,-1.39,-4.73
24,1536,-2.08,-7.50
25,1600,-1.78,-6.30
26,1664,-1.79,-6.33
27,1728,-1.43,-4.89
28,1792,-2.09,-7.53
29,1856,-1.80,-6.36
30,1920,-2.16,-7.83
31,1984,-1.73,-6.08
32,2048,-1.79,-6.34
33,2112,-1.44,-4.95
34,2176,-2.33,-8.48
35,2240,-1.87,-6.65
36,2304,-1.26,-4.21
37,2368,-1.80,-6.39
38,2432,-1.46,-5.02
39,2496,-1.41,-4.82
40,2560,-1.41,-4.80
41,2624,-1.94,-6.92
42,2688,-1.60,-5.57
43,2752,-1.62,-5.65
44,2816,-1.29,-4.35
45,2880,-1.19,-3.92
46,2944,-1.03,-3.29
47,3008,-1.99,-7.13
48,3072,-1.61,-5.61
49,3136,-1.25,-4.19
50,3200,-1.37,-4.67
51,3264,-1.54,-5.34
52,3328,-1.22,-4.07
53,3392,-1.38,-4.71
54,3456,-1.52,-5.27
55,3520,-1.55,-5.39
56,3584,-1.53,-5.29
57,3648,-1.47,-5.07
58,3712,-1.97,-7.06
59,3776,-1.14,-3.74
60,3840,-1.94,-6.93
61,3904,-1.30,-4.37
62,3968,-1.32,-4.45
63,4032,-1.58,-5.51
64,4096,-1.91,-6.81
65,4160,-1.88,-6.68
66,4224,-1.70,-5.97
67,4288,-1.30,-4.36
68,4352,-1.29,-4.35
69,4416,-1.88,-6.69
70,4480,-1.49,-5.14
71,4544,-2.16,-7.83
72,4608,-2.68,-9.89
73,4672,-1.87,-6.65
74,4736,-2.24,-8.12
75,4800,-1.77,-6.24
76,4864,-1.49,-5.15
77,4928,-1.67,-5.86
78,4992,-2.36,-8.60
79,5056,-1.83,-6.49
80,5120,-2.24,-8.13
81,5184,-1.75,-6.18
82,5248,-2.22,-8.07
83,5312,-1.46,-5.02
84,5376,-1.56,-5.41
85,5440,-1.98,-7.11
86,5504,-1.40,-4.78
87,5568,-1.28,-4.28
88,5632,-1.61,-5.63
89,5696,-1.75,-6.17
90,5760,-2.35,-8.57
91,5824,-2.13,-7.71
92,5888,-1.62,-5.65
93,5952,-2.35,-8.58
94,6016,-1.07,-3.44
95,6080,-1.16,-3.80
96,6144,-1.22,-4.05
97,6208,-1.78,-6.31
98,6272,-1.44,-4.96
99,6336,-1.47,-5.05
100,6400,-2.09,-7.55
